sample_accession	study_accession
SAMN17392000	PRJNA693579
SAMN17391946	PRJNA693579
SAMN17391883	PRJNA693579
SAMN17392215	PRJNA693579
SAMN17392190	PRJNA693579
SAMN17391850	PRJNA693579
SAMN17392031	PRJNA693579
SAMN17392138	PRJNA693579
SAMN17391974	PRJNA693579
SAMN17392085	PRJNA693579
SAMN17391915	PRJNA693579
SAMN17392165	PRJNA693579
SAMN17392111	PRJNA693579
SAMN17391820	PRJNA693579
SAMN17392002	PRJNA693579
SAMN17392059	PRJNA693579
SAMN17391947	PRJNA693579
SAMN17391884	PRJNA693579
SAMN17392216	PRJNA693579
SAMN17392191	PRJNA693579
SAMN17391851	PRJNA693579
SAMN17392033	PRJNA693579
SAMN17392032	PRJNA693579
SAMN17391821	PRJNA693579
SAMN17392139	PRJNA693579
SAMN17392086	PRJNA693579
SAMN17391916	PRJNA693579
SAMN17392166	PRJNA693579
SAMN17392112	PRJNA693579
SAMN17392003	PRJNA693579
SAMN17392060	PRJNA693579
SAMN17391948	PRJNA693579
SAMN17391885	PRJNA693579
SAMN17392217	PRJNA693579
SAMN17392192	PRJNA693579
SAMN17391852	PRJNA693579
SAMN17391822	PRJNA693579
SAMN17392140	PRJNA693579
SAMN17391975	PRJNA693579
SAMN17392087	PRJNA693579
SAMN17391917	PRJNA693579
SAMN17392167	PRJNA693579
SAMN17392113	PRJNA693579
SAMN17392004	PRJNA693579
SAMN17392061	PRJNA693579
SAMN17391949	PRJNA693579
SAMN17391886	PRJNA693579
SAMN17392193	PRJNA693579
SAMN17391823	PRJNA693579
SAMN17392034	PRJNA693579
SAMN17392141	PRJNA693579
SAMN17391976	PRJNA693579
SAMN17392088	PRJNA693579
SAMN17391918	PRJNA693579
SAMN17392218	PRJNA693579
SAMN17392168	PRJNA693579
SAMN17392114	PRJNA693579
SAMN17392005	PRJNA693579
SAMN17391853	PRJNA693579
SAMN17392062	PRJNA693579
SAMN17391824	PRJNA693579
SAMN17391950	PRJNA693579
SAMN17391887	PRJNA693579
SAMN17392194	PRJNA693579
SAMN17392035	PRJNA693579
SAMN17392142	PRJNA693579
SAMN17392089	PRJNA693579
SAMN17391919	PRJNA693579
SAMN17392219	PRJNA693579
SAMN17392169	PRJNA693579
SAMN17392115	PRJNA693579
SAMN17392006	PRJNA693579
SAMN17391854	PRJNA693579
SAMN17392063	PRJNA693579
SAMN17391825	PRJNA693579
SAMN17391952	PRJNA693579
SAMN17391951	PRJNA693579
SAMN17391888	PRJNA693579
SAMN17391856	PRJNA693579
SAMN17392036	PRJNA693579
SAMN17392143	PRJNA693579
SAMN17391978	PRJNA693579
SAMN17391977	PRJNA693579
SAMN17392090	PRJNA693579
SAMN17391921	PRJNA693579
SAMN17391920	PRJNA693579
SAMN17392170	PRJNA693579
SAMN17392116	PRJNA693579
SAMN17392008	PRJNA693579
SAMN17392007	PRJNA693579
SAMN17391855	PRJNA693579
SAMN17392064	PRJNA693579
SAMN17391953	PRJNA693579
SAMN17391889	PRJNA693579
SAMN17392195	PRJNA693579
SAMN17391857	PRJNA693579
SAMN17392038	PRJNA693579
SAMN17392037	PRJNA693579
SAMN17392144	PRJNA693579
SAMN17392091	PRJNA693579
SAMN17391922	PRJNA693579
SAMN17392220	PRJNA693579
SAMN17392171	PRJNA693579
SAMN17392117	PRJNA693579
SAMN17392009	PRJNA693579
SAMN17391826	PRJNA693579
SAMN17392065	PRJNA693579
SAMN17391954	PRJNA693579
SAMN17391890	PRJNA693579
SAMN17392196	PRJNA693579
SAMN17391858	PRJNA693579
SAMN17392039	PRJNA693579
SAMN17392145	PRJNA693579
SAMN17391979	PRJNA693579
SAMN17392092	PRJNA693579
SAMN17391827	PRJNA693579
SAMN17391923	PRJNA693579
SAMN17392221	PRJNA693579
SAMN17392172	PRJNA693579
SAMN17392118	PRJNA693579
SAMN17392010	PRJNA693579
SAMN17392066	PRJNA693579
SAMN17391955	PRJNA693579
SAMN17391891	PRJNA693579
SAMN17392197	PRJNA693579
SAMN17392040	PRJNA693579
SAMN17392146	PRJNA693579
SAMN17391980	PRJNA693579
SAMN17392093	PRJNA693579
SAMN17391828	PRJNA693579
SAMN17391859	PRJNA693579
SAMN17391924	PRJNA693579
SAMN17392222	PRJNA693579
SAMN17392173	PRJNA693579
SAMN17392119	PRJNA693579
SAMN17392011	PRJNA693579
SAMN17392067	PRJNA693579
SAMN17391956	PRJNA693579
SAMN17391892	PRJNA693579
SAMN17392198	PRJNA693579
SAMN17392041	PRJNA693579
SAMN17392147	PRJNA693579
SAMN17391981	PRJNA693579
SAMN17391829	PRJNA693579
SAMN17392094	PRJNA693579
SAMN17391860	PRJNA693579
SAMN17392223	PRJNA693579
SAMN17392174	PRJNA693579
SAMN17392120	PRJNA693579
SAMN17392068	PRJNA693579
SAMN17391957	PRJNA693579
SAMN17392199	PRJNA693579
SAMN17392042	PRJNA693579
SAMN17392148	PRJNA693579
SAMN17391982	PRJNA693579
SAMN17392095	PRJNA693579
SAMN17391861	PRJNA693579
SAMN17391925	PRJNA693579
SAMN17391893	PRJNA693579
SAMN17392224	PRJNA693579
SAMN17392175	PRJNA693579
SAMN17392121	PRJNA693579
SAMN17391830	PRJNA693579
SAMN17392012	PRJNA693579
SAMN17392069	PRJNA693579
SAMEA1062225	PRJEB20054
SAMEA1062226	PRJEB20054
SAMEA1062243	PRJEB20054
SAMEA1062244	PRJEB20054
SAMEA1062247	PRJEB20054
SAMEA1062248	PRJEB20054
SAMEA1062249	PRJEB20054
SAMEA1062252	PRJEB20054
SAMEA1062253	PRJEB20054
SAMEA1062254	PRJEB20054
SAMEA1062259	PRJEB20054
SAMEA1062260	PRJEB20054
SAMEA1062264	PRJEB20054
SAMEA1062265	PRJEB20054
SAMEA1062270	PRJEB20054
SAMEA1062271	PRJEB20054
SAMEA1062272	PRJEB20054
SAMEA1062275	PRJEB20054
SAMEA1062276	PRJEB20054
SAMEA1062277	PRJEB20054
SAMEA1062289	PRJEB20054
SAMEA1062290	PRJEB20054
SAMEA1062293	PRJEB20054
SAMEA1062294	PRJEB20054
SAMEA1062295	PRJEB20054
SAMEA1062296	PRJEB20054
SAMEA1062299	PRJEB20054
SAMEA1062300	PRJEB20054
SAMEA1062301	PRJEB20054
SAMEA1062302	PRJEB20054
SAMEA1062303	PRJEB20054
SAMEA1062304	PRJEB20054
SAMEA1062305	PRJEB20054
SAMEA1062306	PRJEB20054
SAMEA1062307	PRJEB20054
SAMEA1062310	PRJEB20054
SAMEA1062311	PRJEB20054
SAMEA1062312	PRJEB20054
SAMN15828732	PRJNA657420
SAMN15828733	PRJNA657420
SAMN15828734	PRJNA657420
SAMN15828735	PRJNA657420
SAMN15828736	PRJNA657420
SAMN15828737	PRJNA657420
SAMN15828738	PRJNA657420
SAMN15828739	PRJNA657420
SAMN15828740	PRJNA657420
SAMN15828741	PRJNA657420
SAMN15828742	PRJNA657420
SAMN15828743	PRJNA657420
SAMN15828744	PRJNA657420
SAMN15828745	PRJNA657420
SAMN15828746	PRJNA657420
SAMN15828747	PRJNA657420
SAMN15828748	PRJNA657420
SAMN15828749	PRJNA657420
SAMN15828750	PRJNA657420
SAMN15828751	PRJNA657420
SAMN15828752	PRJNA657420
SAMN15828753	PRJNA657420
SAMN15828754	PRJNA657420
SAMN15828755	PRJNA657420
SAMN15828756	PRJNA657420
SAMN15828758	PRJNA657420
SAMN15828760	PRJNA657420
SAMN15828761	PRJNA657420
SAMN15828762	PRJNA657420
SAMN15828764	PRJNA657420
SAMN15828765	PRJNA657420
SAMN15828766	PRJNA657420
SAMN15828768	PRJNA657420
SAMN15828769	PRJNA657420
SAMN15828770	PRJNA657420
SAMN15828771	PRJNA657420
SAMN15828772	PRJNA657420
SAMN15828773	PRJNA657420
SAMN15828774	PRJNA657420
SAMN15828775	PRJNA657420
SAMN15828776	PRJNA657420
SAMN15828777	PRJNA657420
SAMN15828778	PRJNA657420
SAMN15828779	PRJNA657420
SAMN15828780	PRJNA657420
SAMN15828781	PRJNA657420
SAMN15828782	PRJNA657420
SAMN04407437	PRJNA308319
SAMN04407445	PRJNA308319
SAMN04407446	PRJNA308319
SAMN04407447	PRJNA308319
SAMN04407448	PRJNA308319
SAMN04407449	PRJNA308319
SAMN04407450	PRJNA308319
SAMN04407451	PRJNA308319
SAMN04407452	PRJNA308319
SAMN04407453	PRJNA308319
SAMN04407454	PRJNA308319
SAMN04407438	PRJNA308319
SAMN04407455	PRJNA308319
SAMN04407456	PRJNA308319
SAMN04407457	PRJNA308319
SAMN04407458	PRJNA308319
SAMN04407459	PRJNA308319
SAMN04407460	PRJNA308319
SAMN04407461	PRJNA308319
SAMN04407462	PRJNA308319
SAMN04407463	PRJNA308319
SAMN04407464	PRJNA308319
SAMN04407439	PRJNA308319
SAMN04407465	PRJNA308319
SAMN04407466	PRJNA308319
SAMN04407467	PRJNA308319
SAMN04407468	PRJNA308319
SAMN04407469	PRJNA308319
SAMN04407470	PRJNA308319
SAMN04407471	PRJNA308319
SAMN04407472	PRJNA308319
SAMN04407473	PRJNA308319
SAMN04407440	PRJNA308319
SAMN04407474	PRJNA308319
SAMN04407475	PRJNA308319
SAMN04407441	PRJNA308319
SAMN04407442	PRJNA308319
SAMN04407443	PRJNA308319
SAMN04407444	PRJNA308319
sample_accession	study_accession
SAMD00283409	PRJDB11304
SAMD00283420	PRJDB11304
SAMD00283421	PRJDB11304
SAMD00283425	PRJDB11304
SAMD00283427	PRJDB11304
SAMD00283428	PRJDB11304
SAMD00283435	PRJDB11304
SAMD00283437	PRJDB11304
SAMD00283438	PRJDB11304
SAMD00283442	PRJDB11304
SAMD00283446	PRJDB11304
SAMD00283453	PRJDB11304
SAMD00283454	PRJDB11304
SAMD00283408	PRJDB11304
SAMD00283413	PRJDB11304
SAMD00283412	PRJDB11304
SAMD00283416	PRJDB11304
SAMD00283417	PRJDB11304
SAMD00283431	PRJDB11304
SAMD00283424	PRJDB11304
SAMD00283434	PRJDB11304
SAMD00283445	PRJDB11304
SAMD00283432	PRJDB11304
SAMD00283449	PRJDB11304
SAMD00283450	PRJDB11304
SAMD00283441	PRJDB11304
SAMEA112819503	PRJEB60692
SAMEA112819457	PRJEB60692
SAMEA112819504	PRJEB60692
SAMEA112819458	PRJEB60692
SAMEA112819505	PRJEB60692
SAMEA112819459	PRJEB60692
SAMEA112819506	PRJEB60692
SAMEA112819535	PRJEB60692
SAMEA112819460	PRJEB60692
SAMEA112819507	PRJEB60692
SAMEA112819461	PRJEB60692
SAMEA112819508	PRJEB60692
SAMEA112819462	PRJEB60692
SAMEA112819509	PRJEB60692
SAMEA112819463	PRJEB60692
SAMEA112819510	PRJEB60692
SAMEA112819464	PRJEB60692
SAMEA112819465	PRJEB60692
SAMEA112819511	PRJEB60692
SAMEA112819466	PRJEB60692
SAMEA112819512	PRJEB60692
SAMEA112819467	PRJEB60692
SAMEA112819513	PRJEB60692
SAMEA112819514	PRJEB60692
SAMEA112819469	PRJEB60692
SAMEA112819515	PRJEB60692
SAMEA112819427	PRJEB60692
SAMEA112819389	PRJEB60692
SAMEA112819390	PRJEB60692
SAMEA112819411	PRJEB60692
SAMEA112819323	PRJEB60692
SAMEA112819365	PRJEB60692
SAMEA112819412	PRJEB60692
SAMEA112819324	PRJEB60692
SAMEA112819366	PRJEB60692
SAMEA112819413	PRJEB60692
SAMEA112819325	PRJEB60692
SAMEA112819367	PRJEB60692
SAMEA112819414	PRJEB60692
SAMEA112819326	PRJEB60692
SAMEA112819428	PRJEB60692
SAMEA112819430	PRJEB60692
SAMEA112819432	PRJEB60692
SAMEA112819415	PRJEB60692
SAMEA112819433	PRJEB60692
SAMEA112819416	PRJEB60692
SAMEA112819328	PRJEB60692
SAMEA112819369	PRJEB60692
SAMEA112819391	PRJEB60692
